policy_key,expected_cash_remark1,total_cnt,coefficient_match_cnt,coefficient_mismatch_cnt,coefficient_match_rate,te_flag_1_cnt,te_flag_0_cnt,other_te_flag_cnt,actual_raise_cnt,actual_unchanged_cnt,actual_down_cnt,te_flag_vs_actual_consistency_rate,positive_config_no_raise_cnt,zero_config_actual_raise_cnt,coefficient_consistent,execution_consistent,strategy_consistent,configured_rate_distribution,observation_status,lookup_status
无单期 | 高额度使用率 | 2 | C,0.6,1498,596,902,0.3978638184245661,353,1145,0,353,1145,0,1.0,1145,0,False,True,False,"{""0.3"": 902, ""0.6"": 596}",,
有单期借款 | 高额度使用率 | 4 | D,0.0,191,90,101,0.4712041884816754,58,133,0,58,133,0,1.0,44,1,False,True,False,"{""0"": 90, ""0.1"": 101}",,
无单期借款 | 高额度使用率 | 2 | D,0.0,187,79,108,0.42245989304812837,74,113,0,74,113,0,1.0,40,6,False,True,False,"{""0"": 79, ""0.3"": 108}",,
有单期借款 | 低额度使用率 | 7 | A,0.2,185,115,70,0.6216216216216216,38,147,0,38,147,0,1.0,77,0,False,True,False,"{""0"": 70, ""0.2"": 115}",,
有单期借款 | 高额度使用率 | 2 | E,0.0,172,64,108,0.37209302325581395,53,119,0,53,119,0,1.0,55,0,False,True,False,"{""0"": 64, ""0.1"": 108}",,
有单期借款 | 低额度使用率 | 3 | E,0.0,166,60,106,0.3614457831325301,38,128,0,38,128,0,1.0,68,0,False,True,False,"{""0"": 60, ""0.1"": 106}",,
无单期 | 高额度使用率 | 5 | D,0.0,163,59,104,0.3619631901840491,46,117,0,46,117,0,1.0,58,0,False,True,False,"{""0"": 59, ""0.2"": 104}",,
无单期 | 高额度使用率 | 7 | B,0.5,160,18,142,0.1125,54,106,0,54,106,0,1.0,59,0,False,True,False,"{""0"": 47, ""0.5"": 18, ""0.8"": 95}",,
无单期 | 高额度使用率 | 7 | D,0.0,158,69,89,0.43670886075949367,49,109,0,49,109,0,1.0,40,0,False,True,False,"{""0"": 69, ""0.3"": 89}",,
无单期 | 高额度使用率 | 4 | A,1.5,156,156,0,1.0,75,81,0,75,81,0,1.0,81,0,True,True,True,"{""1.5"": 156}",,
有单期借款 | 低额度使用率 | 5 | C,0.5,156,55,101,0.3525641025641026,73,83,0,73,83,0,1.0,83,0,False,True,False,"{""0.1"": 101, ""0.5"": 55}",,
无单期借款 | 高额度使用率 | 1 | C,0.6,155,155,0,1.0,121,34,0,121,34,0,1.0,34,0,True,True,True,"{""0.6"": 155}",,
有单期借款 | 低额度使用率 | 3 | D,0.0,155,62,93,0.4,42,113,0,42,113,0,1.0,53,2,False,True,False,"{""0"": 62, ""0.1"": 93}",,
无单期借款 | 高额度使用率 | 1 | B,0.8,153,153,0,1.0,137,16,0,137,16,0,1.0,16,0,True,True,True,"{""0.8"": 153}",,
有单期借款 | 高额度使用率 | 3 | B,0.6,153,61,92,0.39869281045751637,119,34,0,119,34,0,1.0,34,0,False,True,False,"{""0.4"": 92, ""0.6"": 61}",,
无单期 | 高额度使用率 | 6 | D,0.0,151,68,83,0.4503311258278146,43,108,0,43,108,0,1.0,40,0,False,True,False,"{""0"": 68, ""0.3"": 83}",,
有单期借款 | 低额度使用率 | 5 | D,0.0,151,58,93,0.3841059602649007,35,116,0,35,116,0,1.0,59,1,False,True,False,"{""0"": 58, ""0.1"": 93}",,
有单期借款 | 低额度使用率 | 4 | C,0.4,150,60,90,0.4,64,86,0,64,86,0,1.0,86,0,False,True,False,"{""0.1"": 90, ""0.4"": 60}",,
有单期借款 | 低额度使用率 | 4 | D,0.0,150,61,89,0.4066666666666667,34,116,0,34,116,0,1.0,56,1,False,True,False,"{""0"": 61, ""0.1"": 89}",,
无单期 | 中额度使用率 | 2 | D,0.0,143,38,105,0.26573426573426573,47,96,0,47,96,0,1.0,58,0,False,True,False,"{""0"": 38, ""0.3"": 105}",,
无单期 | 高额度使用率 | 7 | C,0.6,140,117,23,0.8357142857142857,46,94,0,46,94,0,1.0,71,0,False,True,False,"{""0"": 23, ""0.6"": 117}",,
无单期借款 | 高额度使用率 | 2 | E,0.0,139,65,74,0.4676258992805755,28,111,0,28,111,0,1.0,46,0,False,True,False,"{""0"": 65, ""0.2"": 74}",,
有单期借款 | 高额度使用率 | 7 | C,0.25,139,10,129,0.07194244604316546,41,98,0,41,98,0,1.0,51,2,False,True,False,"{""0"": 49, ""0.2"": 80, ""0.25"": 10}",,
无单期 | 中额度使用率 | 1 | D,0.0,138,49,89,0.35507246376811596,53,85,0,53,85,0,1.0,36,0,False,True,False,"{""0"": 49, ""0.3"": 89}",,
有单期借款 | 低额度使用率 | 2 | E,0.0,136,44,92,0.3235294117647059,36,100,0,36,100,0,1.0,56,0,False,True,False,"{""0"": 44, ""0.1"": 92}",,
无单期借款 | 高额度使用率 | 2 | B,0.7,130,47,83,0.36153846153846153,94,36,0,94,36,0,1.0,36,0,False,True,False,"{""0.7"": 47, ""0.8"": 83}",,
有单期借款 | 低额度使用率 | 6 | C,0.3,126,42,84,0.3333333333333333,54,72,0,54,72,0,1.0,72,0,False,True,False,"{""0.1"": 84, ""0.3"": 42}",,
有单期借款 | 低额度使用率 | 6 | B,0.3,121,53,68,0.4380165289256198,43,78,0,43,78,0,1.0,78,0,False,True,False,"{""0.2"": 68, ""0.3"": 53}",,
有单期借款 | 高额度使用率 | 4 | C,0.5,121,58,63,0.4793388429752066,74,47,0,74,47,0,1.0,47,0,False,True,False,"{""0.2"": 63, ""0.5"": 58}",,
无单期 | 中额度使用率 | 1 | B,2.0,120,44,76,0.36666666666666664,42,78,0,42,78,0,1.0,78,0,False,True,False,"{""0.8"": 76, ""2"": 44}",,
有单期借款 | 低额度使用率 | 1 | E,0.0,117,51,66,0.4358974358974359,12,105,0,12,105,0,1.0,54,0,False,True,False,"{""0"": 51, ""0.1"": 66}",,
有单期借款 | 低额度使用率 | 4 | B,0.3,117,45,72,0.38461538461538464,65,52,0,65,52,0,1.0,52,0,False,True,False,"{""0.2"": 72, ""0.3"": 45}",,
有单期借款 | 中额度使用率 | 1 | D,0.0,114,48,66,0.42105263157894735,37,77,0,37,77,0,1.0,30,1,False,True,False,"{""0"": 48, ""0.1"": 66}",,
无单期借款 | 高额度使用率 | 3 | D,0.0,113,50,63,0.4424778761061947,42,71,0,42,71,0,1.0,24,3,False,True,False,"{""0"": 50, ""0.3"": 63}",,
有单期借款 | 中额度使用率 | 2 | D,0.0,112,42,70,0.375,38,74,0,38,74,0,1.0,32,0,False,True,False,"{""0"": 42, ""0.1"": 70}",,
无单期 | 高额度使用率 | 6 | C,0.8,111,111,0,1.0,58,53,0,58,53,0,1.0,53,0,True,True,True,"{""0.8"": 111}",,
有单期借款 | 中额度使用率 | 1 | C,0.2,111,111,0,1.0,68,43,0,68,43,0,1.0,43,0,True,True,True,"{""0.2"": 111}",,
无单期 | 高额度使用率 | 7 | A,0.5,108,22,86,0.2037037037037037,34,74,0,34,74,0,1.0,42,0,False,True,False,"{""0"": 32, ""0.5"": 22, ""0.8"": 54}",,
无单期借款 | 高额度使用率 | 2 | C,0.6,108,108,0,1.0,53,55,0,53,55,0,1.0,55,0,True,True,True,"{""0.6"": 108}",,
有单期借款 | 中额度使用率 | 2 | C,0.3,108,55,53,0.5092592592592593,67,41,0,67,41,0,1.0,41,0,False,True,False,"{""0.2"": 53, ""0.3"": 55}",,
有单期借款 | 低额度使用率 | 5 | B,0.3,108,36,72,0.3333333333333333,53,55,0,53,55,0,1.0,55,0,False,True,False,"{""0.2"": 72, ""0.3"": 36}",,
有单期借款 | 低额度使用率 | 4 | E,0.0,105,43,62,0.4095238095238095,28,77,0,28,77,0,1.0,34,0,False,True,False,"{""0"": 43, ""0.1"": 62}",,
有单期借款 | 高额度使用率 | 2 | A,0.6,105,105,0,1.0,90,15,0,90,15,0,1.0,15,0,True,True,True,"{""0.6"": 105}",,
有单期借款 | 低额度使用率 | 4 | A,0.4,104,43,61,0.41346153846153844,67,37,0,67,37,0,1.0,37,0,False,True,False,"{""0.3"": 61, ""0.4"": 43}",,
有单期借款 | 高额度使用率 | 7 | D,0.0,104,47,57,0.4519230769230769,35,69,0,35,69,0,1.0,23,1,False,True,False,"{""0"": 47, ""0.1"": 57}",,
有单期借款 | 低额度使用率 | 1 | A,0.4,101,33,68,0.32673267326732675,81,20,0,81,20,0,1.0,20,0,False,True,False,"{""0.3"": 68, ""0.4"": 33}",,
无单期借款 | 高额度使用率 | 3 | C,0.6,100,100,0,1.0,68,32,0,68,32,0,1.0,32,0,True,True,True,"{""0.6"": 100}",,
有单期借款 | 低额度使用率 | 2 | A,0.4,99,38,61,0.3838383838383838,69,30,0,69,30,0,1.0,30,0,False,True,False,"{""0.3"": 61, ""0.4"": 38}",,
有单期借款 | 低额度使用率 | 3 | A,0.4,96,35,61,0.3645833333333333,55,41,0,55,41,0,1.0,41,0,False,True,False,"{""0.3"": 61, ""0.4"": 35}",,
无单期 | 高额度使用率 | 5 | A,1.0,93,35,58,0.3763440860215054,50,43,0,50,43,0,1.0,43,0,False,True,False,"{""1"": 35, ""1.5"": 58}",,
有单期借款 | 高额度使用率 | 5 | C,0.5,91,46,45,0.5054945054945055,55,36,0,55,36,0,1.0,36,0,False,True,False,"{""0.2"": 45, ""0.5"": 46}",,
无单期借款 | 高额度使用率 | 1 | A,1.2,88,36,52,0.4090909090909091,67,21,0,67,21,0,1.0,21,0,False,True,False,"{""1"": 52, ""1.2"": 36}",,
无单期 | 中额度使用率 | 1 | C,0.6,86,86,0,1.0,27,59,0,27,59,0,1.0,59,0,True,True,True,"{""0.6"": 86}",,
无单期 | 中额度使用率 | 3 | D,0.0,86,20,66,0.23255813953488372,37,49,0,37,49,0,1.0,29,0,False,True,False,"{""0"": 20, ""0.3"": 66}",,
无单期 | 高额度使用率 | 4 | E,0.0,85,34,51,0.4,16,69,0,16,69,0,1.0,35,0,False,True,False,"{""0"": 34, ""0.1"": 51}",,
有单期借款 | 高额度使用率 | 5 | D,0.0,83,36,47,0.43373493975903615,32,51,0,32,51,0,1.0,19,4,False,True,False,"{""0"": 36, ""0.1"": 47}",,
无单期 | 高额度使用率 | 6 | B,0.6,82,42,40,0.5121951219512195,44,38,0,44,38,0,1.0,38,0,False,True,False,"{""0.6"": 42, ""1.2"": 40}",,
有单期借款 | 中额度使用率 | 1 | E,0.0,74,31,43,0.4189189189189189,14,60,0,14,60,0,1.0,29,0,False,True,False,"{""0"": 31, ""0.1"": 43}",,
有单期借款 | 高额度使用率 | 7 | B,0.3,73,12,61,0.1643835616438356,28,45,0,28,45,0,1.0,30,0,False,True,False,"{""0"": 15, ""0.2"": 46, ""0.3"": 12}",,
无单期 | 中额度使用率 | 2 | C,0.8,72,27,45,0.375,26,46,0,26,46,0,1.0,46,0,False,True,False,"{""0.6"": 45, ""0.8"": 27}",,
无单期借款 | 高额度使用率 | 4 | D,0.0,72,29,43,0.4027777777777778,29,43,0,29,43,0,1.0,14,0,False,True,False,"{""0"": 29, ""0.3"": 43}",,
有单期借款 | 中额度使用率 | 7 | D,0.2,71,15,56,0.2112676056338028,26,45,0,26,45,0,1.0,19,2,False,True,False,"{""0"": 28, ""0.1"": 28, ""0.2"": 15}",,
有单期借款 | 低额度使用率 | 6 | D,0.0,69,19,50,0.2753623188405797,16,53,0,16,53,0,1.0,34,0,False,True,False,"{""0"": 19, ""0.1"": 50}",,
有单期借款 | 中额度使用率 | 3 | D,0.0,68,38,30,0.5588235294117647,19,49,0,19,49,0,1.0,14,3,False,True,False,"{""0"": 38, ""0.1"": 30}",,
无单期 | 中额度使用率 | 2 | B,1.5,67,23,44,0.34328358208955223,37,30,0,37,30,0,1.0,30,0,False,True,False,"{""0.8"": 44, ""1.5"": 23}",,
有单期借款 | 中额度使用率 | 1 | B,0.3,67,27,40,0.40298507462686567,60,7,0,60,7,0,1.0,7,0,False,True,False,"{""0.3"": 27, ""0.4"": 40}",,
有单期借款 | 高额度使用率 | 6 | C,0.8,66,30,36,0.45454545454545453,35,31,0,35,31,0,1.0,31,0,False,True,False,"{""0.2"": 36, ""0.8"": 30}",,
无单期 | 低额度使用率 | 1 | B,0.3,64,24,40,0.375,20,44,0,20,44,0,1.0,44,0,False,True,False,"{""0.2"": 40, ""0.3"": 24}",,
无单期 | 中额度使用率 | 3 | C,0.8,60,21,39,0.35,26,34,0,26,34,0,1.0,34,0,False,True,False,"{""0.6"": 39, ""0.8"": 21}",,
无单期借款 | 高额度使用率 | 2 | A,1.0,60,60,0,1.0,46,14,0,46,14,0,1.0,14,0,True,True,True,"{""1"": 60}",,
无单期 | 中额度使用率 | 4 | C,0.6,58,23,35,0.39655172413793105,28,30,0,28,30,0,1.0,30,0,False,True,False,"{""0.5"": 35, ""0.6"": 23}",,
有单期借款 | 高额度使用率 | 6 | D,0.0,58,30,28,0.5172413793103449,18,40,0,18,40,0,1.0,11,1,False,True,False,"{""0"": 30, ""0.1"": 28}",,
无单期 | 高额度使用率 | 3 | E,0.0,57,29,28,0.5087719298245614,7,50,0,7,50,0,1.0,21,0,False,True,False,"{""0"": 29, ""0.1"": 28}",,
无单期 | 中额度使用率 | 2 | E,0.0,54,13,41,0.24074074074074073,10,44,0,10,44,0,1.0,31,0,False,True,False,"{""0"": 13, ""0.2"": 41}",,
无单期 | 低额度使用率 | 2 | C,0.2,54,15,39,0.2777777777777778,25,29,0,25,29,0,1.0,29,0,False,True,False,"{""0.1"": 39, ""0.2"": 15}",,
无单期借款 | 低额度使用率 | 2 | C,0.2,54,15,39,0.2777777777777778,25,29,0,25,29,0,1.0,29,0,False,True,False,"{""0.1"": 39, ""0.2"": 15}",,
有单期借款 | 中额度使用率 | 4 | D,0.0,54,30,24,0.5555555555555556,14,40,0,14,40,0,1.0,10,0,False,True,False,"{""0"": 30, ""0.1"": 24}",,
有单期借款 | 高额度使用率 | 4 | B,0.6,54,26,28,0.48148148148148145,41,13,0,41,13,0,1.0,13,0,False,True,False,"{""0.4"": 28, ""0.6"": 26}",,
无单期借款 | 低额度使用率 | 2 | D,0.0,51,18,33,0.35294117647058826,16,35,0,16,35,0,1.0,17,0,False,True,False,"{""0"": 18, ""0.1"": 33}",,
有单期借款 | 中额度使用率 | 3 | C,0.3,51,23,28,0.45098039215686275,28,23,0,28,23,0,1.0,23,0,False,True,False,"{""0.2"": 28, ""0.3"": 23}",,
有单期借款 | 低额度使用率 | 5 | E,0.0,51,14,37,0.27450980392156865,10,41,0,10,41,0,1.0,27,0,False,True,False,"{""0"": 14, ""0.1"": 37}",,
无单期借款 | 中额度使用率 | 2 | D,0.0,50,16,34,0.32,20,30,0,20,30,0,1.0,15,1,False,True,False,"{""0"": 16, ""0.3"": 34}",,
无单期借款 | 低额度使用率 | 1 | E,0.0,49,16,33,0.32653061224489793,8,41,0,8,41,0,1.0,25,0,False,True,False,"{""0"": 16, ""0.1"": 33}",,
无单期 | 中额度使用率 | 3 | E,0.0,48,14,34,0.2916666666666667,15,33,0,15,33,0,1.0,19,0,False,True,False,"{""0"": 14, ""0.2"": 34}",,
有单期借款 | 低额度使用率 | 5 | A,0.4,47,21,26,0.44680851063829785,21,26,0,21,26,0,1.0,26,0,False,True,False,"{""0.3"": 26, ""0.4"": 21}",,
有单期借款 | 高额度使用率 | 3 | E,0.0,47,29,18,0.6170212765957447,12,35,0,12,35,0,1.0,6,0,False,True,False,"{""0"": 29, ""0.1"": 18}",,
无单期 | 低额度使用率 | 2 | B,0.3,46,46,0,1.0,12,34,0,12,34,0,1.0,34,0,True,True,True,"{""0.3"": 46}",,
有单期借款 | 低额度使用率 | 6 | E,0.0,46,15,31,0.32608695652173914,4,42,0,4,42,0,1.0,27,0,False,True,False,"{""0"": 15, ""0.1"": 31}",,
有单期借款 | 高额度使用率 | 7 | E,0.0,45,26,19,0.5777777777777777,10,35,0,10,35,0,1.0,9,0,False,True,False,"{""0"": 26, ""0.1"": 19}",,
无单期 | 中额度使用率 | 1 | A,1.5,44,22,22,0.5,17,27,0,17,27,0,1.0,27,0,False,True,False,"{""1"": 22, ""1.5"": 22}",,
有单期借款 | 中额度使用率 | 2 | B,0.4,44,44,0,1.0,32,12,0,32,12,0,1.0,12,0,True,True,True,"{""0.4"": 44}",,
有单期借款 | 高额度使用率 | 5 | B,0.8,44,19,25,0.4318181818181818,34,10,0,34,10,0,1.0,10,0,False,True,False,"{""0.4"": 25, ""0.8"": 19}",,
无单期借款 | 高额度使用率 | 4 | C,0.6,43,43,0,1.0,30,13,0,30,13,0,1.0,13,0,True,True,True,"{""0.6"": 43}",,
无单期借款 | 高额度使用率 | 7 | C,0.5,43,9,34,0.20930232558139536,21,22,0,21,22,0,1.0,16,0,False,True,False,"{""0"": 6, ""0.3"": 28, ""0.5"": 9}",,
无单期 | 低额度使用率 | 2 | A,0.5,42,42,0,1.0,14,28,0,14,28,0,1.0,28,0,True,True,True,"{""0.5"": 42}",,
无单期 | 高额度使用率 | 5 | E,0.0,42,21,21,0.5,2,40,0,2,40,0,1.0,19,0,False,True,False,"{""0"": 21, ""0.1"": 21}",,
无单期借款 | 高额度使用率 | 7 | D,0.2,42,26,16,0.6190476190476191,17,25,0,17,25,0,1.0,9,0,False,True,False,"{""0"": 16, ""0.2"": 26}",,
无单期借款 | 高额度使用率 | 3 | E,0.0,41,21,20,0.5121951219512195,8,33,0,8,33,0,1.0,12,0,False,True,False,"{""0"": 21, ""0.2"": 20}",,
无单期借款 | 低额度使用率 | 7 | A,0.3,40,25,15,0.625,5,35,0,5,35,0,1.0,20,0,False,True,False,"{""0"": 15, ""0.3"": 25}",,
有单期借款 | 低额度使用率 | 6 | A,0.3,40,40,0,1.0,17,23,0,17,23,0,1.0,23,0,True,True,True,"{""0.3"": 40}",,
无单期 | 中额度使用率 | 2 | A,1.2,39,16,23,0.41025641025641024,14,25,0,14,25,0,1.0,25,0,False,True,False,"{""1"": 23, ""1.2"": 16}",,
有单期借款 | 高额度使用率 | 3 | A,0.5,39,39,0,1.0,33,6,0,33,6,0,1.0,6,0,True,True,True,"{""0.5"": 39}",,
无单期 | 低额度使用率 | 1 | A,0.3,38,20,18,0.5263157894736842,7,31,0,7,31,0,1.0,31,0,False,True,False,"{""0.3"": 20, ""0.5"": 18}",,
有单期借款 | 中额度使用率 | 7 | C,0.5,38,7,31,0.18421052631578946,12,26,0,12,26,0,1.0,11,0,False,True,False,"{""0"": 15, ""0.2"": 16, ""0.5"": 7}",,
无单期 | 中额度使用率 | 3 | A,1.0,36,36,0,1.0,16,20,0,16,20,0,1.0,20,0,True,True,True,"{""1"": 36}",,
无单期 | 中额度使用率 | 3 | B,1.2,36,11,25,0.3055555555555556,25,11,0,25,11,0,1.0,11,0,False,True,False,"{""0.8"": 25, ""1.2"": 11}",,
无单期 | 中额度使用率 | 5 | C,0.6,36,16,20,0.4444444444444444,14,22,0,14,22,0,1.0,22,0,False,True,False,"{""0.5"": 20, ""0.6"": 16}",,
无单期 | 中额度使用率 | 7 | A,0.5,36,3,33,0.08333333333333333,7,29,0,7,29,0,1.0,16,0,False,True,False,"{""0"": 13, ""0.5"": 3, ""0.8"": 20}",,
无单期 | 高额度使用率 | 6 | A,0.8,35,14,21,0.4,14,21,0,14,21,0,1.0,21,0,False,True,False,"{""0.8"": 14, ""1.5"": 21}",,
无单期借款 | 高额度使用率 | 5 | D,0.0,35,13,22,0.37142857142857144,8,27,0,8,27,0,1.0,14,0,False,True,False,"{""0"": 13, ""0.3"": 22}",,
无单期 | 高额度使用率 | 7 | E,0.0,34,22,12,0.6470588235294118,4,30,0,4,30,0,1.0,8,0,False,True,False,"{""0"": 22, ""0.2"": 12}",,
无单期借款 | 中额度使用率 | 1 | E,0.0,34,11,23,0.3235294117647059,5,29,0,5,29,0,1.0,18,0,False,True,False,"{""0"": 11, ""0.2"": 23}",,
