excel_row,model,variable_name,output_name,source_alias,source_table,source_cell,online_name,中文名,一级分类,二级分类
12,loancntall,loan_interest_rate,loan_interest_rate,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.loan_interest_rate,,,
13,loancntall,user_withdrawal_ratio_now,user_withdrawal_ratio_now,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.user_withdrawal_ratio_now,客户提现金额/当前额度的比例,账户状态,额度使用与账户余额特征
14,loancntall,reg_day,reg_day,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.reg_day,距离注册时间天数,授信申请,申请行为特征
15,loancntall,n_loan_period_days,n_loan_period_days,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,,,
16,loancntall,usr_overdue_days_max,usr_overdue_days_max,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.usr_overdue_days_max,现金贷.usr_overdue_days_max,逾期催收,逾期表现特征
17,loancntall,ng_pp_total_balance_off,ng_pp_total_balance_off,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_pp_total_balance_off,当前资产总额,账户状态,额度使用与账户余额特征
18,loancntall,pp_max_nibssfund_amt_3d,pp_max_nibssfund_amt_3d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.pp_max_nibssfund_amt_3d,PP近3天nibss最大入金金额,交易行为,支付交易行为特征
19,loancntall,max_trans_amt_1m,max_trans_amt_1m,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.max_trans_amt_1m,现金贷.平台交易.max_trans_amt_1m,交易行为,支付交易行为特征
20,loancntall,cust_curr_overdue_bill_amt,cust_curr_overdue_bill_amt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.cust_curr_overdue_bill_amt,客户当前逾期的出账金额,逾期催收,逾期表现特征
21,loancntall,c_first_3dig_bvn,c_first_3dig_bvn,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.c_first_3dig_bvn,Cfirst3digBVN,外部数据,征信/CRC报告特征
22,loancntall,pp_payoff_cnt,pp_payoff_cnt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.pp_payoff_cnt,C侧.pp端信息.用户在pp金融还清次数,还款履约,实际还款行为特征
23,loancntall,loan_net_inflow_90d_v2,loan_net_inflow_90d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.loan_net_inflow_90d_v2,近90天借款入金-还款出金净额,交易行为,支付交易行为特征
24,loancntall,loan_net_inflow_60d_v2,loan_net_inflow_60d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.loan_net_inflow_60d_v2,近60天借款入金-还款出金净额,交易行为,支付交易行为特征
25,loancntall,other_self_airtime_cnts,other_self_airtime_cnts,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.other_self_airtime_cnts,一个手机平均被多少人充值,交易行为,支付交易行为特征
26,loancntall,bus_pp_30d_aum,bus_pp_30d_aum,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.bus_pp_30d_aum,近30天平台日均余额,账户状态,额度使用与账户余额特征
27,loancntall,loan_penalty_rate,loan_penalty_rate,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.loan_penalty_rate,,,
28,loancntall,one_period_days,one_period_days,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.one_period_days,,,
29,loancntall,last_initiative_pay_days,last_initiative_pay_days,t5,pb_biz_credit.ng_customer_pay_plan_flow_feas,pb_biz_credit.ng_customer_pay_plan_flow_feas,,最近一次主动还款距今天数,还款履约,还款计划与账单流水特征
30,loancntall,ng_ins_increase_currd_total_amt,ng_ins_increase_currd_total_amt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_ins_increase_currd_total_amt,分期当日提额金额,账户状态,授信额度特征
31,loancntall,deduct_ratio_due_180d_t79,deduct_ratio_due_180d_t79,t2,pb_biz_credit.keep_jch_ng_cid_repay_feature_final,pb_biz_credit.keep_jch_ng_cid_repay_feature_final,$.deduct_ratio_due_180d_t79,79类账户：近180天每期平均代扣还款笔数(代扣笔数/应还期数),还款履约,实际还款行为特征
32,loancntall,cash_cur_day_ser_increase_cnt,cash_cur_day_ser_increase_cnt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.cash_cur_day_ser_increase_cnt,cash当天结清提额次数,还款履约,实际还款行为特征
33,loancntall,loan_cust_account_status,loan_cust_account_status,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.loan_cust_account_status,,,
34,loancntall,cv_util_180d_all,cv_util_180d_all,t6,pb_biz_credit.keep_jch_ng_cid_util_feature_final,pb_biz_credit.keep_jch_ng_cid_util_feature_final,$.cv_util_180d_all,近180天：all util变异系数,账户状态,额度使用与账户余额特征
35,loancntall,pp_trans_amt_7d,pp_trans_amt_7d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.pp_trans_amt_7d,PP近7天交易总金额,交易行为,支付交易行为特征
36,loancntall,pp_register_software,pp_register_software,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.pp_register_software,pp注册软件,授信申请,申请行为特征
37,loancntall,days_since_registration,days_since_registration,t7,pb_biz_credit.keep_jch_ng_cid_apply_feature_final,pb_biz_credit.keep_jch_ng_cid_apply_feature_final,$.days_since_registration,注册距今天数,授信申请,申请行为特征
38,loancntall,avg_balance_when_gt_0_90d,avg_balance_when_gt_0_90d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.avg_balance_when_gt_0_90d,近90天有资产天数日均总资产金额,账户状态,额度使用与账户余额特征
39,loancntall,max_trans_amt_6m,max_trans_amt_6m,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.max_trans_amt_6m,现金贷.平台交易.max_trans_amt_6m,交易行为,支付交易行为特征
40,loancntall,available_balance_pp,available_balance_pp,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.available_balance_pp,当前余额,账户状态,额度使用与账户余额特征
41,loancntall,payer_amount_median_15d_v2,payer_amount_median_15d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,,"付款方: 过去15天 [T-16, T-2] 付款中位数",交易行为,支付交易行为特征
42,loancntall,first_initiative_pay_days,first_initiative_pay_days,t5,pb_biz_credit.ng_customer_pay_plan_flow_feas,pb_biz_credit.ng_customer_pay_plan_flow_feas,,最早一次主动还款距今天数,还款履约,还款计划与账单流水特征
43,loancntall,pp_nibssfund_amt_3d,pp_nibssfund_amt_3d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.pp_nibssfund_amt_3d,PP近3天nibss入金金额,交易行为,支付交易行为特征
44,loancntall,payer_repay_cnt_360d_v2,payer_repay_cnt_360d_v2,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.payer_repay_cnt_360d_v2,"类别: 过去360天 [T-361, T-2] 还款(j7,g7)笔数",交易行为,支付交易行为特征
45,loancntall,num_device_count,num_device_count,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.num_device_count,,,
46,loancntall,ng_same_nin_max_cur_overdue_day_cash_rt,ng_same_nin_max_cur_overdue_day_cash_rt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_same_nin_max_cur_overdue_day_cash_rt,相同nin对应不同cash账户当前最大逾期天数,逾期催收,逾期表现特征
47,loancntall,press_15d_t9,press_15d_t9,t3,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,,近15天：t9单位还款压力,账户状态,额度使用与账户余额特征
48,loancntall,total_storage,total_storage,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.total_storage,总storage,授信申请,移动设备与APP画像特征
49,loancntall,payee_txn_per_day_360d_v2,payee_txn_per_day_360d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,,"收款方: 过去360天 [T-361, T-2] 日均收款笔数 (用首T-2至今T-2天数做分母)",交易行为,支付交易行为特征
50,loancntall,press_prev90d_all,press_prev90d_all,t3,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,$.press_prev90d_all,"上90天窗口(90,180]：all单位还款压力",账户状态,额度使用与账户余额特征
51,loancntall,last_pay_days,last_pay_days,t5,pb_biz_credit.ng_customer_pay_plan_flow_feas,pb_biz_credit.ng_customer_pay_plan_flow_feas,,最近一次还款距今天数,还款履约,还款计划与账单流水特征
52,loancntall,max_od_days_180d_79,max_od_days_180d_79,t8,pb_biz_credit.keep_ng_jch_cid_overdue_feature_final,pb_biz_credit.keep_ng_jch_cid_overdue_feature_final,$.max_od_days_180d_79,产品79: 近180天最大逾期天数,逾期催收,逾期表现特征
53,loancntall,ng_cash_success_loan_cnt_d3,ng_cash_success_loan_cnt_d3,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_cash_success_loan_cnt_d3,客户最近3天成功交易笔数,还款履约,还款计划与账单流水特征
54,loancntall,transfer_cnt_1m,transfer_cnt_1m,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.transfer_cnt_1m,近一个月转账次数,交易行为,支付交易行为特征
55,loancntall,databundle_airtime_amt_1m,databundle_airtime_amt_1m,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.databundle_airtime_amt_1m,近一个月流量和花费缴费金额,交易行为,支付交易行为特征
56,loancntall,ng_cash_settle_ratio,ng_cash_settle_ratio,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_cash_settle_ratio,提前结清笔数占放款笔数,还款履约,实际还款行为特征
57,loancntall,last_util_1_all,last_util_1_all,t6,pb_biz_credit.keep_jch_ng_cid_util_feature_final,pb_biz_credit.keep_jch_ng_cid_util_feature_final,$.last_util_1_all,all：最近第1笔 util,账户状态,额度使用与账户余额特征
58,loancntall,trans_days_60d,trans_days_60d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.trans_days_60d,近60天交易天数,交易行为,支付交易行为特征
59,loancntall,payee_unique_payer_count_7d_v2,payee_unique_payer_count_7d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,,"收款方: 过去7天 [T-8, T-2] 独立付款人数",交易行为,支付交易行为特征
60,loancntall,if_register_palmpay_device,if_register_palmpay_device,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.if_register_palmpay_device,,,
61,loancntall,util_180d_sumratio_all,util_180d_sumratio_all,t6,pb_biz_credit.keep_jch_ng_cid_util_feature_final,pb_biz_credit.keep_jch_ng_cid_util_feature_final,$.util_180d_sumratio_all,近180天：all整体util（sumratio）,账户状态,额度使用与账户余额特征
62,loancntall,ng_cash_withdraw_jy_reject_cnt,ng_cash_withdraw_jy_reject_cnt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_cash_withdraw_jy_reject_cnt,尼日利亚Cash提现JY拒绝次数,账户状态,额度使用与账户余额特征
63,loancntall,cash_days_from_last_incresed,cash_days_from_last_incresed,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.cash_days_from_last_incresed,cash上次提额距离今天数,账户状态,授信额度特征
64,loancntall,ng_applist_pkgname_last_30_day_pd3_best5_cnt,ng_applist_pkgname_last_30_day_pd3_best5_cnt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_applist_pkgname_last_30_day_pd3_best5_cnt,app_package_name击中近30天pd3表现最好的5个package_name的数量,授信申请,移动设备与APP画像特征
65,loancntall,press_60d_all,press_60d_all,t3,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,$.press_60d_all,近60天：all单位还款压力,账户状态,额度使用与账户余额特征
66,loancntall,ng_cash_success_loan_cnt_d14,ng_cash_success_loan_cnt_d14,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_cash_success_loan_cnt_d14,,,
67,loancntall,max_authen_days,max_authen_days,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.max_authen_days,最近认证成功距今时间,授信申请,申请行为特征
68,loancntall,p20_total_finsave_amt_d30,p20_total_finsave_amt_d30,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.p20_total_finsave_amt_d30,近30天理财余额20分位数,账户状态,额度使用与账户余额特征
69,loancntall,total_vat_7d,total_vat_7d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.total_vat_7d,近7天平均交易额,交易行为,支付交易行为特征
70,loancntall,n_cust_max_overdue_days,n_cust_max_overdue_days,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,,,
71,loancntall,ins_max_cur_overdue_day_for_loan,ins_max_cur_overdue_day_for_loan,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ins_max_cur_overdue_day_for_loan,,,
72,loancntall,ng_cash_loan_cnt_7d,ng_cash_loan_cnt_7d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_cash_loan_cnt_7d,近7天借款笔数,还款履约,还款计划与账单流水特征
73,loancntall,bank_cnt_90d,bank_cnt_90d,t9,pb_biz_credit.keep_jch_ng_cid_multi_loan_feature_final,"pb_biz_credit.keep_jch_ng_cid_multi_loan_feature_final, pb_biz_credit.keep_ng_jch_bvn_nin_phn_multi_loan_feature",$.bank_cnt_90d,近90天银行/账户类产品查询次数,外部数据,多头查询与多证件关联特征
73,loancntall,bank_cnt_90d,bank_cnt_90d_v1,t10,pb_biz_credit.keep_ng_jch_bvn_nin_phn_multi_loan_feature,"pb_biz_credit.keep_jch_ng_cid_multi_loan_feature_final, pb_biz_credit.keep_ng_jch_bvn_nin_phn_multi_loan_feature",$.bank_cnt_90d,近90天银行/账户类产品查询次数,外部数据,多头查询与多证件关联特征
74,loancntall,pp_last_reg_days,pp_last_reg_days,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.pp_last_reg_days,最近一次平台登录时间距当前天数,授信申请,申请行为特征
75,loancntall,hours_since_last_launch,hours_since_last_launch,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.hours_since_last_launch,hourssince最近launch,授信申请,移动设备与APP画像特征
76,loancntall,other_airtime_cnt,other_airtime_cnt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.other_airtime_cnt,,,
77,loancntall,cust_last_market_increase_days,cust_last_market_increase_days,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.cust_last_market_increase_days,cust最近market提额天数,账户状态,授信额度特征
78,loancntall,pp_trans_days_14d,pp_trans_days_14d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.pp_trans_days_14d,PP近14天交易天数,交易行为,支付交易行为特征
79,loancntall,phone_model,phone_model,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.phone_model,设备型号,授信申请,移动设备与APP画像特征
80,loancntall,ratio_install_90d,ratio_install_90d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ratio_install_90d,近90天安装APP占比,授信申请,移动设备与APP画像特征
81,loancntall,ng_ins_reg_sx_days,ng_ins_reg_sx_days,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_ins_reg_sx_days,ins分期账户授信到注册天数,还款履约,还款计划与账单流水特征
82,loancntall,min_authen_days,min_authen_days,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.min_authen_days,最早认证成功距今时间,授信申请,申请行为特征
83,loancntall,pc_counter_sx_curday_succ_cnt,pc_counter_sx_curday_succ_cnt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.pc_counter_sx_curday_succ_cnt,一体卡当天收银台授信成功客户数,授信申请,申请行为特征
84,loancntall,ng_collect_cuiji_ptp_times_30d,ng_collect_cuiji_ptp_times_30d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_collect_cuiji_ptp_times_30d,近30天PTP次数,逾期催收,逾期表现特征
85,loancntall,payer_txn_per_day_360d_v2,payer_txn_per_day_360d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,,"付款方: 过去360天 [T-361, T-2] 日均付款笔数 (用首T-2至今T-2天数做分母)",交易行为,支付交易行为特征
86,loancntall,payer_low_mcht_amt_share_360d_v2,payer_low_mcht_amt_share_360d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,,付款方: 近360天低质商户金额占比,交易行为,支付交易行为特征
87,loancntall,ng_total_loyalty_cnt_rate,ng_total_loyalty_cnt_rate,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_total_loyalty_cnt_rate,,,
88,loancntall,last_overdue_gap_to_asof_days_79,last_overdue_gap_to_asof_days_79,t8,pb_biz_credit.keep_ng_jch_cid_overdue_feature_final,pb_biz_credit.keep_ng_jch_cid_overdue_feature_final,$.last_overdue_gap_to_asof_days_79,产品79: 距最近一次逾期应还日的间隔天数（7+9合并）,逾期催收,逾期表现特征
89,loancntall,total_memory,total_memory,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.total_memory,总memory,授信申请,移动设备与APP画像特征
90,loancntall,transfer_cnt_3m,transfer_cnt_3m,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.transfer_cnt_3m,近3个月转账次数,交易行为,支付交易行为特征
91,loancntall,c_gender,c_gender,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.c_gender,C性别,外部数据,征信/CRC报告特征
92,loancntall,payee_txn_per_day_180d_v2,payee_txn_per_day_180d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.payee_txn_per_day_180d_v2,"收款方: 过去180天 [T-181, T-2] 日均收款笔数 (用首T-2至今T-2天数做分母)",交易行为,支付交易行为特征
93,loancntall,max_od_days_30d_79,max_od_days_30d_79,t8,pb_biz_credit.keep_ng_jch_cid_overdue_feature_final,pb_biz_credit.keep_ng_jch_cid_overdue_feature_final,$.max_od_days_30d_79,产品79: 近30天最大逾期天数,逾期催收,逾期表现特征
94,loancntall,payee_recent_180_amount_share_15d_v2,payee_recent_180_amount_share_15d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.payee_recent_180_amount_share_15d_v2,收款方: 近15天金额 / 近180天金额,交易行为,支付交易行为特征
95,loancntall,installment_loan_rank,installment_loan_rank,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.installment_loan_rank,子账户这笔借据属于该账户的第几次借款(含分期和单期订单排序),账户状态,借款期限特征
96,loancntall,self_airtime_vat,self_airtime_vat,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.self_airtime_vat,为自己手机充值话费平均额,交易行为,支付交易行为特征
97,loancntall,ng_appname_opay_dd,ng_appname_opay_dd,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_appname_opay_dd,OPay app安装时长,授信申请,移动设备与APP画像特征
98,loancntall,avg_util_180d_all,avg_util_180d_all,t6,pb_biz_credit.keep_jch_ng_cid_util_feature_final,pb_biz_credit.keep_jch_ng_cid_util_feature_final,$.avg_util_180d_all,近180天：all单笔util均值,账户状态,额度使用与账户余额特征
99,loancntall,min_util_180d_all,min_util_180d_all,t6,pb_biz_credit.keep_jch_ng_cid_util_feature_final,pb_biz_credit.keep_jch_ng_cid_util_feature_final,$.min_util_180d_all,近180天：all单笔util最小值,账户状态,额度使用与账户余额特征
100,loancntall,max_od_days_90d_79,max_od_days_90d_79,t8,pb_biz_credit.keep_ng_jch_cid_overdue_feature_final,pb_biz_credit.keep_ng_jch_cid_overdue_feature_final,$.max_od_days_90d_79,产品79: 近90天最大逾期天数,逾期催收,逾期表现特征
101,loancntall,ng_loan_continue_reject_cnt3,ng_loan_continue_reject_cnt3,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_loan_continue_reject_cnt3,尼日利亚贷款连续拒绝cnt3,授信申请,申请行为特征
102,loancntall,max_continue_days,max_continue_days,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.max_continue_days,,,
103,loancntall,ng_max_trans_amt,ng_max_trans_amt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.ng_max_trans_amt,,,
104,loancntall,fail_txn_ratio_360d_v2,fail_txn_ratio_360d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.fail_txn_ratio_360d_v2,近360天失败率(失败/总尝试),交易行为,支付交易行为特征
105,loancntall,max_paid_interest_90d_ratio_prev_t79,max_paid_interest_90d_ratio_prev_t79,t2,pb_biz_credit.keep_jch_ng_cid_repay_feature_final,pb_biz_credit.keep_jch_ng_cid_repay_feature_final,$.max_paid_interest_90d_ratio_prev_t79,最大实付期还利息近90d环比_t79,还款履约,实际还款行为特征
106,loancntall,self_airtime_vat_60d,self_airtime_vat_60d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.self_airtime_vat_60d,近60天平均话费额,交易行为,支付交易行为特征
107,loancntall,pp_register_second_channel,pp_register_second_channel,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.pp_register_second_channel,,,
108,loancntall,app38_install_days,app38_install_days,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.app38_install_days,com.whatsapp安装时长,授信申请,移动设备与APP画像特征
109,loancntall,total_daily_vat_14d,total_daily_vat_14d,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.total_daily_vat_14d,近14天平均交易次数,交易行为,支付交易行为特征
110,loancntall,trans_days_cnt,trans_days_cnt,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.trans_days_cnt,交易天数,交易行为,支付交易行为特征
111,loancntall,max_verify_days,max_verify_days,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.max_verify_days,最近手机验证距今天数,授信申请,申请行为特征
112,loancntall,payer_success_rate_60d_v2,payer_success_rate_60d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.payer_success_rate_60d_v2,付款方: 近60天交易成功率(1/(1+2+7)),交易行为,支付交易行为特征
